Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:49:42,21,416,33870,32312,17184,24.9172,61.2757
17/10/24 - 16:49:43,20,415,33867,32316,17186,24.9172,61.3062
17/10/24 - 16:49:44,20,416,33874,32314,17179,24.9172,61.265
17/10/24 - 16:49:45,25,415,33871,32313,17167,24.9039,61.2741
17/10/24 - 16:49:46,12,419,33879,32311,17169,24.9039,61.2116
17/10/24 - 16:49:47,18,415,33882,32306,17165,24.9306,61.2573
17/10/24 - 16:49:48,20,412,33871,32306,17169,24.8745,61.2573
17/10/24 - 16:49:49,21,412,33870,32313,17169,24.8878,61.2802
17/10/24 - 16:49:50,20,409,33867,32316,17163,24.8745,61.2879
17/10/24 - 16:49:52,18,417,33871,32308,17162,24.8745,61.3291
17/10/24 - 16:49:53,21,421,33870,32315,17159,24.8611,61.1414
17/10/24 - 16:49:54,17,413,33867,32312,17156,24.8745,61.2573
17/10/24 - 16:49:55,26,422,33866,32319,17159,24.8878,61.3519
17/10/24 - 16:49:56,23,427,33859,32305,17159,24.9039,61.3031
17/10/24 - 16:49:57,24,422,33855,32313,17154,24.8318,61.2512
17/10/24 - 16:49:58,22,431,33858,32308,17153,24.9039,61.3336
17/10/24 - 16:49:59,26,426,33863,32303,17145,24.8878,61.3214
17/10/24 - 16:50:00,24,426,33858,32298,17146,24.9172,61.3474
17/10/24 - 16:50:02,21,423,33867,32305,17141,24.9466,61.4359
17/10/24 - 16:50:03,20,425,33855,32312,17133,24.8611,61.3581
17/10/24 - 16:50:04,27,429,33854,32303,17132,24.9172,61.3672
17/10/24 - 16:50:05,32,431,33863,32298,17136,24.9306,61.3901
17/10/24 - 16:50:06,21,429,33862,32301,17131,24.9172,61.4084
17/10/24 - 16:50:07,25,421,33859,32292,17131,24.9466,61.4038
17/10/24 - 16:50:08,23,421,33855,32295,17132,24.9172,61.3764
17/10/24 - 16:50:09,27,432,33866,32290,17127,24.9599,61.3855
17/10/24 - 16:50:10,28,420,33879,32298,17127,24.9466,61.3748
17/10/24 - 16:50:12,25,418,33862,32299,17127,24.9466,61.3123
17/10/24 - 16:50:13,27,422,33855,32304,17124,24.9466,61.3535
17/10/24 - 16:50:14,23,413,33847,32294,17116,24.9172,61.3062
17/10/24 - 16:50:15,26,423,33866,32307,17118,24.9172,61.3169
17/10/24 - 16:50:16,24,413,33871,32294,17119,24.9733,61.3382
17/10/24 - 16:50:17,28,421,33866,32307,17113,24.9866,61.3077
17/10/24 - 16:50:18,23,415,33867,32299,17105,24.9466,61.3016
17/10/24 - 16:50:19,20,409,33867,32284,17109,24.9172,61.3062
17/10/24 - 16:50:20,27,420,33866,32293,17100,24.9599,61.2741
17/10/24 - 16:50:22,28,416,33867,32289,17109,24.9599,61.2009
17/10/24 - 16:50:23,21,415,33854,32289,17105,24.9866,61.2375
17/10/24 - 16:50:24,22,412,33875,32296,17100,24.9733,61.2848
17/10/24 - 16:50:25,28,420,33879,32305,17098,24.9599,61.3443
17/10/24 - 16:50:26,22,411,33890,32306,17094,24.9733,61.2757
17/10/24 - 16:50:27,21,409,33871,32308,17099,24.9866,61.2161
17/10/24 - 16:50:28,27,414,33870,32316,17096,24.9866,61.2467
17/10/24 - 16:50:29,24,414,33859,32307,17098,25.0187,61.3123
17/10/24 - 16:50:30,23,405,33887,32301,17085,25.0187,61.2116
17/10/24 - 16:50:32,20,415,33882,32301,17088,25.0187,61.2619
17/10/24 - 16:50:33,26,420,33875,32304,17086,25.0187,61.2421
17/10/24 - 16:50:34,33,428,33866,32299,17082,25.032,61.2055
17/10/24 - 16:50:35,20,413,33871,32292,17084,25.0454,61.2879
17/10/24 - 16:50:36,25,423,33867,32277,17079,25.0027,61.1978
17/10/24 - 16:50:37,29,422,33878,32294,17083,25.0454,61.2482
17/10/24 - 16:50:38,24,414,33871,32304,17079,25.0454,61.2375
17/10/24 - 16:50:39,25,415,33870,32298,17080,25.0881,61.2024
17/10/24 - 16:50:40,30,422,33883,32288,17082,25.0614,61.2802
17/10/24 - 16:50:41,28,407,33855,32281,17077,25.0748,61.2421
17/10/24 - 16:50:43,22,413,33858,32285,17074,25.0748,61.2207
17/10/24 - 16:50:44,27,408,33847,32293,17068,25.0881,61.1734
17/10/24 - 16:50:45,29,416,33834,32297,17070,25.0748,61.1917
17/10/24 - 16:50:46,24,414,33835,32292,17068,25.0614,61.178
17/10/24 - 16:50:47,27,414,33835,32290,17065,25.0614,61.1475
17/10/24 - 16:50:48,21,402,33830,32298,17071,25.0454,61.0834
17/10/24 - 16:50:49,17,403,33835,32280,17066,25.0614,61.1063
17/10/24 - 16:50:50,14,406,33846,32297,17066,25.032,61.091
17/10/24 - 16:50:51,19,414,33843,32296,17062,25.0187,61.12
17/10/24 - 16:50:53,22,407,33851,32295,17065,25.0454,61.0513
17/10/24 - 16:50:54,25,413,33854,32296,17054,25.1015,61.0605
17/10/24 - 16:50:55,20,418,33855,32294,17058,25.0748,61.0147
17/10/24 - 16:50:56,17,407,33850,32294,17062,25.0881,61.059
17/10/24 - 16:50:57,24,414,33851,32297,17058,25.0881,61.0376
17/10/24 - 16:50:58,24,409,33859,32288,17050,25.0881,61.0285
17/10/24 - 16:50:59,16,404,33854,32296,17054,25.0881,61.0376
17/10/24 - 16:51:00,25,416,33863,32296,17049,25.1015,61.0605
17/10/24 - 16:51:01,22,405,33878,32301,17053,25.0748,60.9644
