[2024-10-29 08:50:28] Initializing SHT35 on channel 3...
[2024-10-29 08:50:28] Initializing SGP30 on channel 2...
[2024-10-29 08:51:37] Temperature: 12.890059 °C, Humidity: 70.939194 %
[2024-10-29 08:51:37] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:38] Temperature: 12.903410 °C, Humidity: 71.007858 %
[2024-10-29 08:51:38] SGP30 tVOC: 8 ppb, CO2eq: 407 ppm
[2024-10-29 08:51:39] Temperature: 12.890059 °C, Humidity: 70.957504 %
[2024-10-29 08:51:39] SGP30 tVOC: 9 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:40] Temperature: 12.932784 °C, Humidity: 70.975815 %
[2024-10-29 08:51:40] SGP30 tVOC: 5 ppb, CO2eq: 405 ppm
[2024-10-29 08:51:41] Temperature: 12.916762 °C, Humidity: 70.962082 %
[2024-10-29 08:51:41] SGP30 tVOC: 0 ppb, CO2eq: 405 ppm
[2024-10-29 08:51:42] Temperature: 12.972839 °C, Humidity: 70.897995 %
[2024-10-29 08:51:42] SGP30 tVOC: 2 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:43] Temperature: 12.932784 °C, Humidity: 70.919357 %
[2024-10-29 08:51:43] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:44] Temperature: 12.972839 °C, Humidity: 70.928513 %
[2024-10-29 08:51:44] SGP30 tVOC: 0 ppb, CO2eq: 410 ppm
[2024-10-29 08:51:45] Temperature: 12.959487 °C, Humidity: 70.905624 %
[2024-10-29 08:51:45] SGP30 tVOC: 4 ppb, CO2eq: 408 ppm
[2024-10-29 08:51:46] Temperature: 12.946136 °C, Humidity: 70.875107 %
[2024-10-29 08:51:46] SGP30 tVOC: 1 ppb, CO2eq: 409 ppm
[2024-10-29 08:51:47] Temperature: 12.946136 °C, Humidity: 70.930038 %
[2024-10-29 08:51:47] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:48] Temperature: 12.946136 °C, Humidity: 70.911728 %
[2024-10-29 08:51:48] SGP30 tVOC: 0 ppb, CO2eq: 417 ppm
