Timestamp	SGP30_tVOC_ppb	SGP30_CO2eq_ppm	SGP30_H2_raw	SGP30_Ethanol_raw	SGP30_H2	SGP30_Ethanol	SGP40_SRAW_VOC	SGP41_SRAW_VOC	SGP41_SRAW_NOX	sgp40_voc_index	sgp41_voc_index	Temperature_C	Humidity_%	FS3000_Velocity_m/s
10/12/24 - 09:42:20	2	417	55188	30422	1,03E-36	2,92E-11	33274	32891	16609	33	46	15,8408	44,5289	0
10/12/24 - 09:42:21	7	420	55188	30422	1,03E-36	2,92E-11	33287	32909	16610	33	46	15,8541	44,5991	0
10/12/24 - 09:42:22	0	403	55188	30422	1,03E-36	2,92E-11	33302	32917	16613	34	47	15,8541	44,4373	0
10/12/24 - 09:42:23	1	400	55188	30422	1,03E-36	2,92E-11	33323	32912	16611	34	47	15,8835	44,5792	0
10/12/24 - 09:42:25	9	410	55188	30422	1,03E-36	2,92E-11	33323	32928	16616	34	47	15,8541	44,5426	0
10/12/24 - 09:42:26	1	402	55188	30422	1,03E-36	2,92E-11	33326	32929	16607	35	47	15,9102	44,4892	0
10/12/24 - 09:42:27	7	409	55188	30422	1,03E-36	2,92E-11	33307	32919	16606	35	48	15,8675	44,4053	0
10/12/24 - 09:42:28	0	408	55188	30422	1,03E-36	2,92E-11	33310	32936	16615	36	48	15,9102	44,4099	0
10/12/24 - 09:42:29	1	408	55188	30422	1,03E-36	2,92E-11	33331	32938	16611	36	48	15,9102	44,3977	0
10/12/24 - 09:42:30	1	406	55188	30422	1,03E-36	2,92E-11	33327	32935	16613	37	49	15,9529	44,3549	0
10/12/24 - 09:42:31	1	408	55188	30422	1,03E-36	2,92E-11	33338	32943	16615	38	49	15,9396	44,3656	0
10/12/24 - 09:42:33	3	413	55188	30422	1,03E-36	2,92E-11	33343	32958	16621	38	49	15,9663	44,3229	0
10/12/24 - 09:42:34	3	411	55188	30422	1,03E-36	2,92E-11	33366	32958	16619	38	50	15,9529	44,3458	0
10/12/24 - 09:42:35	2	406	55188	30422	1,03E-36	2,92E-11	33363	32958	16611	39	50	15,9529	44,3915	0
10/12/24 - 09:42:36	4	413	55188	30422	1,03E-36	2,92E-11	33375	32961	16619	39	50	15,9796	44,2786	0
10/12/24 - 09:42:37	0	405	55188	30422	1,03E-36	2,92E-11	33370	32958	16617	40	51	15,9529	44,2771	0
