Time,Moisture (%)
2024-12-09 14:12:42,516,100
2024-12-09 14:12:43,516,100
2024-12-09 14:12:44,516,100
2024-12-09 14:12:45,516,100
2024-12-09 14:12:46,516,100
2024-12-09 14:12:47,516,100
2024-12-09 14:12:48,516,100
2024-12-09 14:12:49,516,100
2024-12-09 14:12:50,517,99
2024-12-09 14:12:51,516,100
2024-12-09 14:12:52,516,100
2024-12-09 14:12:53,516,100
2024-12-09 14:12:54,516,100
2024-12-09 14:12:55,516,100
2024-12-09 14:12:56,516,100
2024-12-09 14:12:57,516,100
2024-12-09 14:12:58,516,100
2024-12-09 14:12:59,516,100
2024-12-09 14:13:00,516,100
2024-12-09 14:13:01,516,100
2024-12-09 14:13:02,516,100
2024-12-09 14:13:03,516,100
2024-12-09 14:13:04,516,100
2024-12-09 14:13:05,516,100
2024-12-09 14:13:06,516,100
2024-12-09 14:13:07,516,100
2024-12-09 14:13:08,516,100
2024-12-09 14:13:09,516,100
2024-12-09 14:13:10,517,99
2024-12-09 14:13:11,516,100
2024-12-09 14:13:12,517,99
2024-12-09 14:13:13,516,100
2024-12-09 14:13:14,516,100
2024-12-09 14:13:15,516,100
2024-12-09 14:13:16,516,100
2024-12-09 14:13:17,516,100
2024-12-09 14:13:18,516,100
2024-12-09 14:13:19,516,100
2024-12-09 14:13:20,516,100
2024-12-09 14:13:21,516,100
2024-12-09 14:13:22,516,100
2024-12-09 14:13:23,516,100
2024-12-09 14:13:24,516,100
2024-12-09 14:13:25,516,100
2024-12-09 14:13:26,516,100
2024-12-09 14:13:27,516,100
2024-12-09 14:13:28,516,100
2024-12-09 14:13:29,516,100
2024-12-09 14:13:30,517,99
2024-12-09 14:13:31,516,100
2024-12-09 14:13:32,517,99
2024-12-09 14:13:33,516,100
2024-12-09 14:13:34,516,100
2024-12-09 14:13:35,517,99
2024-12-09 14:13:36,516,100
2024-12-09 14:13:37,517,99
2024-12-09 14:13:38,516,100
2024-12-09 14:13:39,516,100
2024-12-09 14:13:40,516,100
2024-12-09 14:13:41,517,99
2024-12-09 14:13:42,516,100
2024-12-09 14:13:43,516,100
2024-12-09 14:13:44,516,100
2024-12-09 14:13:45,517,99
2024-12-09 14:13:46,517,99
2024-12-09 14:13:47,517,99
2024-12-09 14:13:48,517,99
2024-12-09 14:13:49,516,100
2024-12-09 14:13:50,517,99
2024-12-09 14:13:51,516,100
2024-12-09 14:13:52,517,99
2024-12-09 14:13:53,517,99
2024-12-09 14:13:54,517,99
2024-12-09 14:13:55,517,99
2024-12-09 14:13:56,517,99
2024-12-09 14:13:57,517,99
2024-12-09 14:13:58,517,99
2024-12-09 14:13:59,517,99
2024-12-09 14:14:00,517,99
2024-12-09 14:14:01,517,99
2024-12-09 14:14:02,517,99
2024-12-09 14:14:03,517,99
2024-12-09 14:14:04,517,99
2024-12-09 14:14:05,517,99
2024-12-09 14:14:06,518,99
2024-12-09 14:14:07,517,99
2024-12-09 14:14:08,519,98
2024-12-09 14:14:09,517,99
2024-12-09 14:14:10,518,99
2024-12-09 14:14:11,518,99
2024-12-09 14:14:12,517,99
2024-12-09 14:14:13,517,99
2024-12-09 14:14:14,518,99
2024-12-09 14:14:16,517,99
2024-12-09 14:14:17,517,99
2024-12-09 14:14:18,517,99
2024-12-09 14:14:19,518,99
2024-12-09 14:14:20,518,99
2024-12-09 14:14:21,517,99
2024-12-09 14:14:22,517,99
2024-12-09 14:14:23,518,99
2024-12-09 14:14:24,517,99
2024-12-09 14:14:25,518,99
2024-12-09 14:14:26,518,99
2024-12-09 14:14:27,518,99
2024-12-09 14:14:28,518,99
2024-12-09 14:14:29,518,99
2024-12-09 14:14:30,518,99
2024-12-09 14:14:31,518,99
2024-12-09 14:14:32,518,99
2024-12-09 14:14:33,518,99
2024-12-09 14:14:34,518,99
2024-12-09 14:14:35,518,99
2024-12-09 14:14:36,518,99
2024-12-09 14:14:37,518,99
2024-12-09 14:14:38,518,99
2024-12-09 14:14:39,518,99
2024-12-09 14:14:40,519,98
2024-12-09 14:14:41,518,99
2024-12-09 14:14:42,518,99
2024-12-09 14:14:43,519,98
2024-12-09 14:14:44,518,99
2024-12-09 14:14:45,518,99
2024-12-09 14:14:46,518,99
2024-12-09 14:14:47,519,98
2024-12-09 14:14:48,519,98
2024-12-09 14:14:49,519,98
2024-12-09 14:14:50,519,98
2024-12-09 14:14:51,519,98
2024-12-09 14:14:52,519,98
2024-12-09 14:14:53,519,98
2024-12-09 14:14:54,519,98
2024-12-09 14:14:55,519,98
2024-12-09 14:14:56,520,98
2024-12-09 14:14:57,519,98
2024-12-09 14:14:58,519,98
2024-12-09 14:14:59,519,98
2024-12-09 14:15:00,519,98
2024-12-09 14:15:01,520,98
2024-12-09 14:15:02,520,98
2024-12-09 14:15:03,520,98
2024-12-09 14:15:04,520,98
2024-12-09 14:15:05,520,98
2024-12-09 14:15:06,520,98
